optimizer,epoch,loss
Adam,1,2.311915810699463
Adam,2,2.3128076599121092
Adam,3,2.3121934714508057
Adam,4,2.3115837451171877
Adam,5,2.3117399600982664
Adam,6,2.3124960195159914
Adam,7,2.31231305267334
Adam,8,2.3131818277740477
Adam,9,2.3120918087768554
Adam,10,2.312223127365112
Adam,11,2.3126858673095705
Adam,12,2.312018044128418
Adam,13,2.311314556655884
Adam,14,2.311024811553955
Adam,15,2.312364763031006
Adam,16,2.3125593657684327
Adam,17,2.312919459075928
Adam,18,2.311338341217041
Adam,19,2.311995143508911
Adam,20,2.311940433807373
Adagrad,1,2.3157069597625735
Adagrad,2,2.3166725814056397
Adagrad,3,2.3165424542999267
Adagrad,4,2.3169745307159424
Adagrad,5,2.316256043548584
Adagrad,6,2.316187858352661
Adagrad,7,2.315440071563721
Adagrad,8,2.3153488578033445
Adagrad,9,2.3165607208251955
Adagrad,10,2.316559091949463
Adagrad,11,2.316720302658081
Adagrad,12,2.316180035018921
Adagrad,13,2.3164310475921632
Adagrad,14,2.3168856253051757
Adagrad,15,2.31597917098999
Adagrad,16,2.316626783065796
Adagrad,17,2.3168722634887695
Adagrad,18,2.3164317510223387
Adagrad,19,2.3158752411651613
Adagrad,20,2.3159812060546874
SGD_Nesterov,1,2.307344139251709
SGD_Nesterov,2,2.3080669968414305
SGD_Nesterov,3,2.306958787460327
SGD_Nesterov,4,2.3068586463165284
SGD_Nesterov,5,2.306638551483154
SGD_Nesterov,6,2.307791440658569
SGD_Nesterov,7,2.307389566421509
SGD_Nesterov,8,2.307408403778076
SGD_Nesterov,9,2.3073367455291747
SGD_Nesterov,10,2.3068908415985105
SGD_Nesterov,11,2.306968914642334
SGD_Nesterov,12,2.307361358642578
SGD_Nesterov,13,2.307086348876953
SGD_Nesterov,14,2.3074277727508545
SGD_Nesterov,15,2.3071602445220947
SGD_Nesterov,16,2.3078409790802
SGD_Nesterov,17,2.3071261612701415
SGD_Nesterov,18,2.307708793411255
SGD_Nesterov,19,2.30719815574646
SGD_Nesterov,20,2.307912004547119
LBO,1,2.309176587982178
LBO,2,2.3089327694702146
LBO,3,2.3089575452423095
LBO,4,2.3096267254638674
LBO,5,2.309901298675537
LBO,6,2.3085818590545655
LBO,7,2.309617509689331
LBO,8,2.3086278833007814
LBO,9,2.309107296295166
LBO,10,2.309025350112915
LBO,11,2.3085945384979247
LBO,12,2.3092833280944824
LBO,13,2.3086266696929933
LBO,14,2.308774620819092
LBO,15,2.308797169036865
LBO,16,2.3089427030181886
LBO,17,2.3089265354156496
LBO,18,2.308490945739746
LBO,19,2.308701883468628
LBO,20,2.309314494781494
