optimizer,epoch,loss,dropout
Adam,1,2.3222052633921306,True
Adam,2,2.3220926884969075,True
Adam,3,2.3222482012430827,True
Adam,4,2.3214570265452066,True
Adam,5,2.3217311800638836,True
Adam,6,2.3219353000640868,True
Adam,7,2.321435613123576,True
Adam,8,2.3221839640299478,True
Adam,9,2.3225093227386475,True
Adam,10,2.321762926610311,True
Adam,11,2.323509135055542,True
Adam,12,2.3214399840037028,True
Adam,13,2.3212875055948894,True
Adam,14,2.3223161059061685,True
Adam,15,2.3219879240671792,True
Adam,16,2.321033003616333,True
Adam,17,2.3216560198465985,True
Adam,18,2.3215544691721597,True
Adam,19,2.321140549723307,True
Adam,20,2.321623645401001,True
AdaDelta,1,2.314768160120646,True
AdaDelta,2,2.3162378706614177,True
AdaDelta,3,2.3158623291015625,True
AdaDelta,4,2.315477558898926,True
AdaDelta,5,2.315926868311564,True
AdaDelta,6,2.3161361218770344,True
AdaDelta,7,2.315924940109253,True
AdaDelta,8,2.315935527674357,True
AdaDelta,9,2.3159833248138426,True
AdaDelta,10,2.3158730080922445,True
AdaDelta,11,2.3157373036702475,True
AdaDelta,12,2.31549234568278,True
AdaDelta,13,2.3154770629882813,True
AdaDelta,14,2.3173656745910645,True
AdaDelta,15,2.317091446685791,True
AdaDelta,16,2.3161240131378174,True
AdaDelta,17,2.316056796391805,True
AdaDelta,18,2.3158219617207845,True
AdaDelta,19,2.316019136810303,True
AdaDelta,20,2.3164583950042723,True
Adagrad,1,2.3260786717732747,True
Adagrad,2,2.325009795252482,True
Adagrad,3,2.324479507700602,True
Adagrad,4,2.3256950837453205,True
Adagrad,5,2.32589625155131,True
Adagrad,6,2.3260223852793374,True
Adagrad,7,2.325648219045003,True
Adagrad,8,2.3253148972829183,True
Adagrad,9,2.3256122859954833,True
Adagrad,10,2.325056864674886,True
Adagrad,11,2.3247602738698325,True
Adagrad,12,2.3260363966623943,True
Adagrad,13,2.3256297585805257,True
Adagrad,14,2.32492142384847,True
Adagrad,15,2.3254082092285158,True
Adagrad,16,2.325743484624227,True
Adagrad,17,2.3259411657969156,True
Adagrad,18,2.3258620286305747,True
Adagrad,19,2.3261603458404543,True
Adagrad,20,2.325775898996989,True
RMSprop,1,2.311434199396769,True
RMSprop,2,2.311790231068929,True
RMSprop,3,2.312415685272217,True
RMSprop,4,2.311746428934733,True
RMSprop,5,2.311527465057373,True
RMSprop,6,2.3126477049509684,True
RMSprop,7,2.3110062470753987,True
RMSprop,8,2.3116256570180256,True
RMSprop,9,2.310852595901489,True
RMSprop,10,2.311400103632609,True
RMSprop,11,2.3119361368815103,True
RMSprop,12,2.3115498851776124,True
RMSprop,13,2.3106983695983887,True
RMSprop,14,2.3121236357371013,True
RMSprop,15,2.31089070854187,True
RMSprop,16,2.3121257055918374,True
RMSprop,17,2.3120562669118248,True
RMSprop,18,2.3118999153137207,True
RMSprop,19,2.3108961624145508,True
RMSprop,20,2.3119030320485434,True
SGD_Nesterov,1,2.3275173742930093,True
SGD_Nesterov,2,2.3284735476175946,True
SGD_Nesterov,3,2.3280279603322347,True
SGD_Nesterov,4,2.328136372502645,True
SGD_Nesterov,5,2.3273716106414795,True
SGD_Nesterov,6,2.328067987950643,True
SGD_Nesterov,7,2.3286542524973552,True
SGD_Nesterov,8,2.3268917494455974,True
SGD_Nesterov,9,2.3266683952331544,True
SGD_Nesterov,10,2.3280907276153564,True
SGD_Nesterov,11,2.3283854813893634,True
SGD_Nesterov,12,2.3271342732747398,True
SGD_Nesterov,13,2.328221129735311,True
SGD_Nesterov,14,2.3276930094401043,True
SGD_Nesterov,15,2.3278885036468506,True
SGD_Nesterov,16,2.3290255572001137,True
SGD_Nesterov,17,2.3281379632314048,True
SGD_Nesterov,18,2.32818615582784,True
SGD_Nesterov,19,2.327858824793498,True
SGD_Nesterov,20,2.3276301394144694,True
LBO,1,2.319044084040324,True
LBO,2,2.3191894479115804,True
LBO,3,2.3185926860809327,True
LBO,4,2.318318102900187,True
LBO,5,2.319173527908325,True
LBO,6,2.3201144763946533,True
LBO,7,2.319551835123698,True
LBO,8,2.3190394652048747,True
LBO,9,2.318538838450114,True
LBO,10,2.3193102971394857,True
LBO,11,2.3191322212219236,True
LBO,12,2.3185741172790526,True
LBO,13,2.31956552734375,True
LBO,14,2.3186103122711184,True
LBO,15,2.3186330271402995,True
LBO,16,2.3204383907318116,True
LBO,17,2.3189645698547365,True
LBO,18,2.3202001379648842,True
LBO,19,2.318696339797974,True
LBO,20,2.3199439406077067,True
