optimizer,epoch,loss,dropout
Adam,1,2.3057137421925864,False
Adam,2,2.3057136788686114,False
Adam,3,2.305713755544027,False
Adam,4,2.305713666788737,False
Adam,5,2.3057136431376137,False
Adam,6,2.305713831202189,False
Adam,7,2.305713739267985,False
Adam,8,2.3057136922200523,False
Adam,9,2.3057137402852375,False
Adam,10,2.305713642756144,False
Adam,11,2.305713626098633,False
Adam,12,2.3057136671702065,False
Adam,13,2.305713668950399,False
Adam,14,2.3057135729471843,False
Adam,15,2.30571369527181,False
Adam,16,2.305713725535075,False
Adam,17,2.305713673655192,False
Adam,18,2.305713605372111,False
Adam,19,2.305713723373413,False
Adam,20,2.3057137813568116,False
AdaDelta,1,2.327307113647461,False
AdaDelta,2,2.3273070107777913,False
AdaDelta,3,2.3273071496327717,False
AdaDelta,4,2.3273071483612062,False
AdaDelta,5,2.3273071128845215,False
AdaDelta,6,2.327307047398885,False
AdaDelta,7,2.3273071228027344,False
AdaDelta,8,2.327307034810384,False
AdaDelta,9,2.327307164510091,False
AdaDelta,10,2.3273071575164797,False
AdaDelta,11,2.3273071051279706,False
AdaDelta,12,2.327307189687093,False
AdaDelta,13,2.3273071014404296,False
AdaDelta,14,2.327307109705607,False
AdaDelta,15,2.327307175064087,False
AdaDelta,16,2.3273071495056152,False
AdaDelta,17,2.327307080968221,False
AdaDelta,18,2.3273072500864664,False
AdaDelta,19,2.327307168070475,False
AdaDelta,20,2.3273070259094237,False
Adagrad,1,2.3027549706776935,False
Adagrad,2,2.302754989496867,False
Adagrad,3,2.302754927444458,False
Adagrad,4,2.3027549494425457,False
Adagrad,5,2.3027549602508546,False
Adagrad,6,2.3027549763997395,False
Adagrad,7,2.302754969024658,False
Adagrad,8,2.302755033493042,False
Adagrad,9,2.302754994837443,False
Adagrad,10,2.3027550183614096,False
Adagrad,11,2.3027549201965334,False
Adagrad,12,2.3027549790700275,False
Adagrad,13,2.302755060195923,False
Adagrad,14,2.30275492960612,False
Adagrad,15,2.3027550003051758,False
Adagrad,16,2.3027549999237062,False
Adagrad,17,2.3027550174713136,False
Adagrad,18,2.3027550052642822,False
Adagrad,19,2.3027549863179524,False
Adagrad,20,2.3027549682617185,False
RMSprop,1,2.2980039193471273,False
RMSprop,2,2.2980040528615318,False
RMSprop,3,2.2980039196014403,False
RMSprop,4,2.2980040033976237,False
RMSprop,5,2.2980039925893148,False
RMSprop,6,2.2980040543874103,False
RMSprop,7,2.2980040075937906,False
RMSprop,8,2.2980039986928302,False
RMSprop,9,2.2980039772033694,False
RMSprop,10,2.298004033533732,False
RMSprop,11,2.2980039834340413,False
RMSprop,12,2.2980039979298907,False
RMSprop,13,2.298003973642985,False
RMSprop,14,2.298004042307536,False
RMSprop,15,2.2980040776570636,False
RMSprop,16,2.298003917058309,False
RMSprop,17,2.2980039920806883,False
RMSprop,18,2.2980039714813234,False
RMSprop,19,2.298004033025106,False
RMSprop,20,2.2980040064493816,False
SGD_Nesterov,1,2.3241383935292563,False
SGD_Nesterov,2,2.324138380050659,False
SGD_Nesterov,3,2.324138386408488,False
SGD_Nesterov,4,2.324138323465983,False
SGD_Nesterov,5,2.3241383268992104,False
SGD_Nesterov,6,2.3241382769266763,False
SGD_Nesterov,7,2.3241383299509684,False
SGD_Nesterov,8,2.3241383290608724,False
SGD_Nesterov,9,2.324138253148397,False
SGD_Nesterov,10,2.3241384066263833,False
SGD_Nesterov,11,2.324138291422526,False
SGD_Nesterov,12,2.3241382670084634,False
SGD_Nesterov,13,2.324138424682617,False
SGD_Nesterov,14,2.3241384101867677,False
SGD_Nesterov,15,2.3241384146372477,False
SGD_Nesterov,16,2.3241383261362714,False
SGD_Nesterov,17,2.324138233057658,False
SGD_Nesterov,18,2.3241383827209474,False
SGD_Nesterov,19,2.3241382935841877,False
SGD_Nesterov,20,2.3241384232838946,False
LBO,1,2.3150601133982343,False
LBO,2,2.315060206604004,False
LBO,3,2.315060189183553,False
LBO,4,2.3150601994832356,False
LBO,5,2.3150602382659913,False
LBO,6,2.315060083389282,False
LBO,7,2.315060189692179,False
LBO,8,2.31506017074585,False
LBO,9,2.3150602436065673,False
LBO,10,2.315060121154785,False
LBO,11,2.3150601165771483,False
LBO,12,2.3150601660410564,False
LBO,13,2.315060233052572,False
LBO,14,2.3150602118174235,False
LBO,15,2.3150601483662925,False
LBO,16,2.3150601495107015,False
LBO,17,2.3150602016448976,False
LBO,18,2.3150602429707847,False
LBO,19,2.315060172526042,False
LBO,20,2.315060162607829,False
