optimizer,epoch,loss
Adam,1,0.6984803771972656
Adam,2,0.6984804039001464
Adam,3,0.6984803748130798
Adam,4,0.6984803900718689
Adam,5,0.6984803810119629
Adam,6,0.6984804043769837
Adam,7,0.6984803743362427
Adam,8,0.6984803891181945
Adam,9,0.6984803743362427
Adam,10,0.6984803876876831
Adam,11,0.6984803490638732
Adam,12,0.6984804091453553
Adam,13,0.6984803757667541
Adam,14,0.6984803953170776
Adam,15,0.6984804000854492
Adam,16,0.6984803957939147
Adam,17,0.6984804019927978
Adam,18,0.6984803819656372
Adam,19,0.6984803919792175
Adam,20,0.698480393409729
Adagrad,1,0.700155752658844
Adagrad,2,0.7001557598114013
Adagrad,3,0.7001557741165161
Adagrad,4,0.7001557941436768
Adagrad,5,0.7001557893753052
Adagrad,6,0.7001557612419128
Adagrad,7,0.7001557703018189
Adagrad,8,0.7001557846069336
Adagrad,9,0.7001557531356811
Adagrad,10,0.7001557621955872
Adagrad,11,0.7001557784080505
Adagrad,12,0.7001557908058167
Adagrad,13,0.7001557869911194
Adagrad,14,0.7001557483673095
Adagrad,15,0.7001557912826538
Adagrad,16,0.7001557874679566
Adagrad,17,0.7001557703018189
Adagrad,18,0.7001557765007019
Adagrad,19,0.7001557645797729
Adagrad,20,0.7001557559967041
RMSprop,1,0.7201826467514038
RMSprop,2,0.720182671546936
RMSprop,3,0.7201826601028443
RMSprop,4,0.7201826920509339
RMSprop,5,0.7201826553344727
RMSprop,6,0.7201826462745666
RMSprop,7,0.7201826710700989
RMSprop,8,0.7201826505661011
RMSprop,9,0.7201826572418213
RMSprop,10,0.7201826562881469
RMSprop,11,0.7201826620101929
RMSprop,12,0.7201826615333558
RMSprop,13,0.7201826844215393
RMSprop,14,0.7201826663017273
RMSprop,15,0.7201826734542847
RMSprop,16,0.7201826691627502
RMSprop,17,0.7201826701164246
RMSprop,18,0.7201826529502868
RMSprop,19,0.7201826748847961
RMSprop,20,0.7201826663017273
SGD_Nesterov,1,0.7401239099502563
SGD_Nesterov,2,0.7401239109039307
SGD_Nesterov,3,0.7401238894462585
SGD_Nesterov,4,0.7401239194869995
SGD_Nesterov,5,0.7401239075660706
SGD_Nesterov,6,0.7401238851547242
SGD_Nesterov,7,0.7401238694190979
SGD_Nesterov,8,0.7401238780021667
SGD_Nesterov,9,0.7401238899230957
SGD_Nesterov,10,0.7401239175796509
SGD_Nesterov,11,0.7401238961219787
SGD_Nesterov,12,0.7401238741874695
SGD_Nesterov,13,0.740123915195465
SGD_Nesterov,14,0.7401238765716552
SGD_Nesterov,15,0.7401239366531372
SGD_Nesterov,16,0.7401239047050476
SGD_Nesterov,17,0.7401238942146301
SGD_Nesterov,18,0.7401239247322082
SGD_Nesterov,19,0.7401238903999329
SGD_Nesterov,20,0.740123869895935
LBO,1,0.7000369248390198
LBO,2,0.7000369191169739
LBO,3,0.7000369181632996
LBO,4,0.700036901473999
LBO,5,0.7000368595123291
LBO,6,0.7000368909835816
LBO,7,0.700036880493164
LBO,8,0.7000369071960449
LBO,9,0.7000368814468384
LBO,10,0.7000369062423706
LBO,11,0.7000368962287903
LBO,12,0.7000368733406067
LBO,13,0.7000368928909302
LBO,14,0.7000368852615356
LBO,15,0.7000368776321411
LBO,16,0.7000369091033936
LBO,17,0.7000369143486023
LBO,18,0.7000369062423706
LBO,19,0.7000369005203247
LBO,20,0.7000368795394898
