optimizer,epoch,loss
Adam,1,2.554438734817505
Adam,2,2.5544387325286864
Adam,3,2.5544387231191
Adam,4,2.5544387434641522
Adam,5,2.5544387376149493
Adam,6,2.554438715362549
Adam,7,2.554438739013672
Adam,8,2.554438736979167
Adam,9,2.5544387313842774
Adam,10,2.554438729476929
Adam,11,2.5544387163798015
Adam,12,2.5544387338002523
Adam,13,2.5544387187957764
Adam,14,2.554438739013672
Adam,15,2.5544387465159097
Adam,16,2.5544387338002523
Adam,17,2.554438728841146
Adam,18,2.554438732783
Adam,19,2.5544387205759684
Adam,20,2.5544387404123943
Adagrad,1,2.401052720896403
Adagrad,2,2.4010527214050295
Adagrad,3,2.401052716445923
Adagrad,4,2.401052708816528
Adagrad,5,2.4010527033487956
Adagrad,6,2.4010527126312255
Adagrad,7,2.4010527105967205
Adagrad,8,2.4010527236938475
Adagrad,9,2.4010527090708416
Adagrad,10,2.401052737045288
Adagrad,11,2.4010527060190836
Adagrad,12,2.4010527273813884
Adagrad,13,2.4010527249654134
Adagrad,14,2.40105271581014
Adagrad,15,2.401052719370524
Adagrad,16,2.4010527168273925
Adagrad,17,2.4010527128855386
Adagrad,18,2.4010527269999185
Adagrad,19,2.4010527324676514
Adagrad,20,2.401052714665731
SGD_Nesterov,1,2.600083095296224
SGD_Nesterov,2,2.6000830876668295
SGD_Nesterov,3,2.600083099492391
SGD_Nesterov,4,2.6000831255594887
SGD_Nesterov,5,2.60008310546875
SGD_Nesterov,6,2.6000830947875975
SGD_Nesterov,7,2.6000831125895183
SGD_Nesterov,8,2.600083095932007
SGD_Nesterov,9,2.6000831057230633
SGD_Nesterov,10,2.600083097966512
SGD_Nesterov,11,2.600083097076416
SGD_Nesterov,12,2.6000831189473472
SGD_Nesterov,13,2.6000831255594887
SGD_Nesterov,14,2.600083101272583
SGD_Nesterov,15,2.6000831193288167
SGD_Nesterov,16,2.6000831199645997
SGD_Nesterov,17,2.600083125813802
SGD_Nesterov,18,2.6000830942789714
SGD_Nesterov,19,2.6000831192016602
SGD_Nesterov,20,2.6000830954233805
LBO,1,2.3926628832499186
LBO,2,2.3926628874460856
LBO,3,2.392662873458862
LBO,4,2.3926628892262776
LBO,5,2.3926629009246825
LBO,6,2.39266287651062
LBO,7,2.3926628859202066
LBO,8,2.392662893040975
LBO,9,2.3926628852844236
LBO,10,2.3926628808339436
LBO,11,2.392662872314453
LBO,12,2.3926629061381024
LBO,13,2.392662889989217
LBO,14,2.392662879180908
LBO,15,2.3926628964742025
LBO,16,2.3926628793080646
LBO,17,2.392662890625
LBO,18,2.3926628918965656
LBO,19,2.3926628777821857
LBO,20,2.3926628944396975
